Mission,Deployment,Games,Win %,VP,Faction
Take And Hold,Hammer And Anvil,549,42.62%,74.06,Astra Militarum
Take And Hold,Search And Destroy,741,45.88%,78.02,Astra Militarum
Take And Hold,Sweeping Engagement,52,50.00%,73.31,Astra Militarum
Take And Hold,Tipping Point,936,45.51%,74.43,Astra Militarum
Terraform,Crucible Of Battle,681,48.31%,77.10,Astra Militarum
Terraform,Dawn Of War,38,47.37%,72.61,Astra Militarum
Terraform,Hammer And Anvil,46,50.00%,61.22,Astra Militarum
Terraform,Search And Destroy,34,50.00%,77.06,Astra Militarum
Terraform,Sweeping Engagement,467,46.25%,77.40,Astra Militarum
Terraform,Tipping Point,37,43.24%,70.31,Astra Militarum
The Ritual,Crucible Of Battle,9,33.33%,62.33,Astra Militarum
The Ritual,Dawn Of War,18,33.33%,70.33,Astra Militarum
Burden Of Trust,Crucible Of Battle,18,50.00%,67.00,Black Templars
Burden Of Trust,Dawn Of War,32,53.13%,62.00,Black Templars
Burden Of Trust,Hammer And Anvil,16,56.25%,59.00,Black Templars
Burden Of Trust,Search And Destroy,19,31.58%,64.50,Black Templars
Burden Of Trust,Sweeping Engagement,18,44.44%,59.63,Black Templars
Burden Of Trust,Tipping Point,13,38.46%,60.00,Black Templars
Hidden Supplies,Crucible Of Battle,217,55.30%,73.78,Black Templars
Hidden Supplies,Dawn Of War,18,50.00%,65.22,Black Templars
Hidden Supplies,Hammer And Anvil,219,52.97%,74.37,Black Templars
Hidden Supplies,Search And Destroy,416,51.44%,75.78,Black Templars
Hidden Supplies,Sweeping Engagement,13,53.85%,59.29,Black Templars
Hidden Supplies,Tipping Point,17,58.82%,72.40,Black Templars
Linchpin,Crucible Of Battle,120,49.17%,73.31,Black Templars
Linchpin,Dawn Of War,254,47.64%,68.38,Black Templars
Linchpin,Hammer And Anvil,47,48.94%,62.65,Black Templars
Linchpin,Search And Destroy,432,53.24%,72.82,Black Templars
Linchpin,Sweeping Engagement,29,48.28%,65.86,Black Templars
Linchpin,Tipping Point,471,48.83%,71.47,Black Templars
Purge The Foe,Crucible Of Battle,577,50.09%,79.43,Black Templars
Purge The Foe,Dawn Of War,186,54.84%,73.85,Black Templars
Purge The Foe,Hammer And Anvil,348,46.84%,73.12,Black Templars
Purge The Foe,Search And Destroy,34,73.53%,76.24,Black Templars
Purge The Foe,Sweeping Engagement,22,54.55%,74.17,Black Templars
Purge The Foe,Tipping Point,20,35.00%,66.57,Black Templars
Scorched Earth,Crucible Of Battle,336,47.02%,77.72,Black Templars
Scorched Earth,Dawn Of War,26,42.31%,70.27,Black Templars
Scorched Earth,Hammer And Anvil,31,45.16%,65.79,Black Templars
Scorched Earth,Search And Destroy,300,51.00%,74.53,Black Templars
Scorched Earth,Sweeping Engagement,12,58.33%,55.86,Black Templars
Scorched Earth,Tipping Point,330,47.27%,75.77,Black Templars
Supply Drop,Crucible Of Battle,15,60.00%,60.00,Black Templars
Supply Drop,Dawn Of War,21,52.38%,67.73,Black Templars
Supply Drop,Hammer And Anvil,211,48.34%,68.90,Black Templars
Supply Drop,Search And Destroy,32,40.63%,58.23,Black Templars
Supply Drop,Sweeping Engagement,119,52.94%,71.30,Black Templars
Supply Drop,Tipping Point,212,49.53%,67.87,Black Templars
Take And Hold,Crucible Of Battle,52,46.15%,73.00,Black Templars
Take And Hold,Dawn Of War,83,50.60%,68.64,Black Templars
Take And Hold,Hammer And Anvil,411,53.04%,74.29,Black Templars
Take And Hold,Search And Destroy,543,53.04%,78.35,Black Templars
Take And Hold,Sweeping Engagement,33,51.52%,74.94,Black Templars
Take And Hold,Tipping Point,642,48.29%,78.30,Black Templars
Terraform,Crucible Of Battle,467,49.68%,74.41,Black Templars
Terraform,Dawn Of War,25,44.00%,78.36,Black Templars
Terraform,Hammer And Anvil,26,57.69%,77.40,Black Templars
Terraform,Search And Destroy,36,66.67%,69.00,Black Templars
Terraform,Sweeping Engagement,323,46.75%,76.08,Black Templars
Terraform,Tipping Point,29,44.83%,63.38,Black Templars
The Ritual,Crucible Of Battle,6,100.00%,54.67,Black Templars
The Ritual,Dawn Of War,7,71.43%,58.60,Black Templars
Burden Of Trust,Crucible Of Battle,35,42.86%,69.27,Blood Angels
Burden Of Trust,Dawn Of War,42,47.62%,56.15,Blood Angels
Burden Of Trust,Hammer And Anvil,30,46.67%,69.14,Blood Angels
Burden Of Trust,Search And Destroy,40,52.50%,63.95,Blood Angels
Burden Of Trust,Sweeping Engagement,21,66.67%,66.07,Blood Angels
Burden Of Trust,Tipping Point,25,28.00%,61.43,Blood Angels
Hidden Supplies,Crucible Of Battle,311,47.59%,72.65,Blood Angels
Hidden Supplies,Dawn Of War,32,53.13%,66.59,Blood Angels
Hidden Supplies,Hammer And Anvil,294,52.04%,72.90,Blood Angels
Hidden Supplies,Search And Destroy,672,48.36%,76.48,Blood Angels
Hidden Supplies,Sweeping Engagement,25,68.00%,70.76,Blood Angels
Hidden Supplies,Tipping Point,34,61.76%,76.81,Blood Angels
Linchpin,Crucible Of Battle,172,43.60%,77.35,Blood Angels
Linchpin,Dawn Of War,403,45.91%,70.93,Blood Angels
Linchpin,Hammer And Anvil,46,52.17%,60.17,Blood Angels
Linchpin,Search And Destroy,623,46.23%,73.70,Blood Angels
Linchpin,Sweeping Engagement,44,56.82%,68.04,Blood Angels
Linchpin,Tipping Point,734,52.72%,72.53,Blood Angels
Purge The Foe,Crucible Of Battle,868,47.00%,82.90,Blood Angels
Purge The Foe,Dawn Of War,238,53.78%,76.88,Blood Angels
Purge The Foe,Hammer And Anvil,470,46.60%,75.80,Blood Angels
Purge The Foe,Search And Destroy,53,54.72%,74.48,Blood Angels
Purge The Foe,Sweeping Engagement,38,57.89%,65.55,Blood Angels
Purge The Foe,Tipping Point,62,56.45%,71.74,Blood Angels
Scorched Earth,Crucible Of Battle,487,50.10%,77.48,Blood Angels
Scorched Earth,Dawn Of War,34,55.88%,61.37,Blood Angels
Scorched Earth,Hammer And Anvil,39,56.41%,72.27,Blood Angels
Scorched Earth,Search And Destroy,409,53.30%,78.56,Blood Angels
Scorched Earth,Sweeping Engagement,28,67.86%,79.42,Blood Angels
Scorched Earth,Tipping Point,435,48.97%,76.00,Blood Angels
Supply Drop,Crucible Of Battle,31,54.84%,52.71,Blood Angels
Supply Drop,Dawn Of War,20,50.00%,58.60,Blood Angels
Supply Drop,Hammer And Anvil,315,44.44%,65.24,Blood Angels
Supply Drop,Search And Destroy,35,40.00%,65.36,Blood Angels
Supply Drop,Sweeping Engagement,170,50.59%,65.43,Blood Angels
Supply Drop,Tipping Point,364,46.15%,65.48,Blood Angels
Take And Hold,Crucible Of Battle,76,44.74%,76.18,Blood Angels
Take And Hold,Dawn Of War,97,52.58%,71.00,Blood Angels
Take And Hold,Hammer And Anvil,529,47.83%,73.67,Blood Angels
Take And Hold,Search And Destroy,858,49.65%,79.62,Blood Angels
Take And Hold,Sweeping Engagement,51,60.78%,74.35,Blood Angels
Take And Hold,Tipping Point,899,48.05%,74.69,Blood Angels
Terraform,Crucible Of Battle,683,52.12%,77.91,Blood Angels
Terraform,Dawn Of War,45,48.89%,75.68,Blood Angels
Terraform,Hammer And Anvil,30,53.33%,79.75,Blood Angels
Terraform,Search And Destroy,57,49.12%,72.79,Blood Angels
Terraform,Sweeping Engagement,529,49.53%,81.12,Blood Angels
Terraform,Tipping Point,38,47.37%,73.94,Blood Angels
The Ritual,Crucible Of Battle,14,57.14%,67.38,Blood Angels
The Ritual,Dawn Of War,13,61.54%,58.00,Blood Angels
Burden Of Trust,Crucible Of Battle,10,50.00%,75.00,Chaos Daemons
Burden Of Trust,Dawn Of War,14,64.29%,64.33,Chaos Daemons
Burden Of Trust,Hammer And Anvil,12,58.33%,72.86,Chaos Daemons
Burden Of Trust,Search And Destroy,15,60.00%,65.78,Chaos Daemons
Burden Of Trust,Sweeping Engagement,11,45.45%,72.20,Chaos Daemons
Burden Of Trust,Tipping Point,11,54.55%,75.00,Chaos Daemons
Hidden Supplies,Crucible Of Battle,199,48.74%,76.80,Chaos Daemons
Hidden Supplies,Dawn Of War,20,45.00%,88.11,Chaos Daemons
Hidden Supplies,Hammer And Anvil,166,52.41%,77.40,Chaos Daemons
Hidden Supplies,Search And Destroy,333,55.26%,77.41,Chaos Daemons
Hidden Supplies,Sweeping Engagement,8,75.00%,72.17,Chaos Daemons
Hidden Supplies,Tipping Point,8,37.50%,74.00,Chaos Daemons
Linchpin,Crucible Of Battle,100,58.00%,76.34,Chaos Daemons
Linchpin,Dawn Of War,192,51.04%,73.94,Chaos Daemons
Linchpin,Hammer And Anvil,24,66.67%,68.94,Chaos Daemons
Linchpin,Search And Destroy,392,52.30%,72.72,Chaos Daemons
Linchpin,Sweeping Engagement,23,47.83%,72.91,Chaos Daemons
Linchpin,Tipping Point,387,53.23%,74.48,Chaos Daemons
Purge The Foe,Crucible Of Battle,424,54.25%,81.58,Chaos Daemons
Purge The Foe,Dawn Of War,111,54.95%,78.30,Chaos Daemons
Purge The Foe,Hammer And Anvil,231,59.74%,78.49,Chaos Daemons
Purge The Foe,Search And Destroy,29,55.17%,66.13,Chaos Daemons
Purge The Foe,Sweeping Engagement,15,60.00%,79.44,Chaos Daemons
Purge The Foe,Tipping Point,29,75.86%,84.73,Chaos Daemons
Scorched Earth,Crucible Of Battle,300,54.00%,81.69,Chaos Daemons
Scorched Earth,Dawn Of War,12,58.33%,63.00,Chaos Daemons
Scorched Earth,Hammer And Anvil,18,55.56%,74.10,Chaos Daemons
Scorched Earth,Search And Destroy,249,56.22%,78.40,Chaos Daemons
Scorched Earth,Sweeping Engagement,12,66.67%,58.25,Chaos Daemons
Scorched Earth,Tipping Point,260,56.15%,79.54,Chaos Daemons
Supply Drop,Crucible Of Battle,13,46.15%,69.33,Chaos Daemons
Supply Drop,Dawn Of War,8,62.50%,71.00,Chaos Daemons
Supply Drop,Hammer And Anvil,170,49.41%,66.42,Chaos Daemons
Supply Drop,Search And Destroy,12,50.00%,80.67,Chaos Daemons
Supply Drop,Sweeping Engagement,93,46.24%,70.51,Chaos Daemons
Supply Drop,Tipping Point,203,64.04%,70.84,Chaos Daemons
Take And Hold,Crucible Of Battle,44,47.73%,75.29,Chaos Daemons
Take And Hold,Dawn Of War,52,51.92%,79.63,Chaos Daemons
Take And Hold,Hammer And Anvil,331,51.96%,79.10,Chaos Daemons
